REF_DATE,GEO,DGUID,VECTOR,COORDINATE,Population estimate
1/1/1946,Canada,2016A000011124,v1,1,12188000
1/1/1946,Canada,2016A000011124,v1,1,12241000
1/1/1946,Canada,2016A000011124,v1,1,12316000
1/1/1946,Canada,2016A000011124,v1,1,12393000
1/1/1947,Canada,2016A000011124,v1,1,12450000
1/1/1947,Canada,2016A000011124,v1,1,12507000
1/1/1947,Canada,2016A000011124,v1,1,12576000
1/1/1947,Canada,2016A000011124,v1,1,12646000
1/1/1948,Canada,2016A000011124,v1,1,12710000
1/1/1948,Canada,2016A000011124,v1,1,12773000
1/1/1948,Canada,2016A000011124,v1,1,12852000
1/1/1948,Canada,2016A000011124,v1,1,12930000
1/1/1949,Canada,2016A000011124,v1,1,12998000
1/1/1949,Canada,2016A000011124,v1,1,13399000
1/1/1949,Canada,2016A000011124,v1,1,13475000
1/1/1949,Canada,2016A000011124,v1,1,13548000
1/1/1950,Canada,2016A000011124,v1,1,13607000
1/1/1950,Canada,2016A000011124,v1,1,13663000
1/1/1950,Canada,2016A000011124,v1,1,13737000
1/1/1950,Canada,2016A000011124,v1,1,13807000
1/1/1951,Canada,2016A000011124,v1,1,13870000
1/1/1951,Canada,2016A000011124,v1,1,13937000
1/1/1951,Canada,2016A000011124,v1,1,14050000
1/1/1951,Newfoundland and Labrador,2016A000210,v2,2,362000
1/1/1951,Prince Edward Island,2016A000211,v8,3,99000
1/1/1951,Nova Scotia,2016A000212,v9,4,643000
1/1/1951,New Brunswick,2016A000213,v10,5,517000
1/1/1951,Quebec,2016A000224,v11,6,4066000
1/1/1951,Ontario,2016A000235,v12,7,4615000
1/1/1951,Manitoba,2016A000246,v13,8,778000
1/1/1951,Saskatchewan,2016A000247,v14,9,834000
1/1/1951,Alberta,2016A000248,v15,10,943000
1/1/1951,British Columbia,2016A000259,v3,11,1168000
1/1/1951,Yukon,2016A000260,v4,12,9000
1/1/1951,Northwest Territories including Nunavut,,v5,13,16000
1/1/1951,Canada,2016A000011124,v1,1,14163000
1/1/1951,Newfoundland and Labrador,2016A000210,v2,2,365000
1/1/1951,Prince Edward Island,2016A000211,v8,3,99000
1/1/1951,Nova Scotia,2016A000212,v9,4,646000
1/1/1951,New Brunswick,2016A000213,v10,5,519000
1/1/1951,Quebec,2016A000224,v11,6,4095000
1/1/1951,Ontario,2016A000235,v12,7,4665000
1/1/1951,Manitoba,2016A000246,v13,8,784000
1/1/1951,Saskatchewan,2016A000247,v14,9,836000
1/1/1951,Alberta,2016A000248,v15,10,950000
1/1/1951,British Columbia,2016A000259,v3,11,1179000
1/1/1951,Yukon,2016A000260,v4,12,9000
1/1/1951,Northwest Territories including Nunavut,,v5,13,16000
1/1/1952,Canada,2016A000011124,v1,1,14277000
1/1/1952,Newfoundland and Labrador,2016A000210,v2,2,368000
1/1/1952,Prince Edward Island,2016A000211,v8,3,100000
1/1/1952,Nova Scotia,2016A000212,v9,4,647000
1/1/1952,New Brunswick,2016A000213,v10,5,521000
1/1/1952,Quebec,2016A000224,v11,6,4126000
1/1/1952,Ontario,2016A000235,v12,7,4717000
1/1/1952,Manitoba,2016A000246,v13,8,789000
1/1/1952,Saskatchewan,2016A000247,v14,9,836000
1/1/1952,Alberta,2016A000248,v15,10,959000
1/1/1952,British Columbia,2016A000259,v3,11,1189000
1/1/1952,Yukon,2016A000260,v4,12,9000
1/1/1952,Northwest Territories including Nunavut,,v5,13,16000
1/1/1952,Canada,2016A000011124,v1,1,14376000
1/1/1952,Newfoundland and Labrador,2016A000210,v2,2,371000
1/1/1952,Prince Edward Island,2016A000211,v8,3,100000
1/1/1952,Nova Scotia,2016A000212,v9,4,651000
1/1/1952,New Brunswick,2016A000213,v10,5,524000
1/1/1952,Quebec,2016A000224,v11,6,4153000
1/1/1952,Ontario,2016A000235,v12,7,4757000
1/1/1952,Manitoba,2016A000246,v13,8,794000
1/1/1952,Saskatchewan,2016A000247,v14,9,838000
1/1/1952,Alberta,2016A000248,v15,10,965000
1/1/1952,British Columbia,2016A000259,v3,11,1198000
1/1/1952,Yukon,2016A000260,v4,12,9000
1/1/1952,Northwest Territories including Nunavut,,v5,13,16000
1/1/1952,Canada,2016A000011124,v1,1,14496000
1/1/1952,Newfoundland and Labrador,2016A000210,v2,2,375000
1/1/1952,Prince Edward Island,2016A000211,v8,3,100000
1/1/1952,Nova Scotia,2016A000212,v9,4,654000
1/1/1952,New Brunswick,2016A000213,v10,5,527000
1/1/1952,Quebec,2016A000224,v11,6,4183000
1/1/1952,Ontario,2016A000235,v12,7,4802000
1/1/1952,Manitoba,2016A000246,v13,8,799000
1/1/1952,Saskatchewan,2016A000247,v14,9,845000
1/1/1952,Alberta,2016A000248,v15,10,977000
1/1/1952,British Columbia,2016A000259,v3,11,1209000
1/1/1952,Yukon,2016A000260,v4,12,9000
1/1/1952,Northwest Territories including Nunavut,,v5,13,16000
1/1/1952,Canada,2016A000011124,v1,1,14598000
1/1/1952,Newfoundland and Labrador,2016A000210,v2,2,377000
1/1/1952,Prince Edward Island,2016A000211,v8,3,101000
1/1/1952,Nova Scotia,2016A000212,v9,4,657000
